item_code,item_name,edible_portion,assumption_source
59,Fish (fresh / frozen),0.56,tza_npsw5
60,Small Sized Fish (fresh),1,mwi_ihs4
61,Fish (dry / smoked),1,mwi_ihs4
62,Small Sized Fish (dry),1,mwi_ihs4
63,Preserved/canned fish,1,mwi_ihs4
64,Condensed milk unsweetened,1,tza_npsw5
65,Milk powder,1,tza_npsw5
66,Yogurt,1,tza_npsw5
67,Ice cream,1,tza_npsw5
68,Cheese,1,tza_npsw5
69,Butter (local),1,tza_npsw5
70,Butter (imported),1,tza_npsw5
71,Banana fruit (Imineke),0.85,mwi_ihs4
72,Banana - beer (Ikakama/Inkashi),1,assumed
73,Mangos,0.74,tza_npsw5
74,Papayas,0.74,tza_npsw5
75,Avocado,0.75,tza_npsw5
76,Pineapple,0.85,mwi_ihs4
77,Guava,0.85,mwi_ihs4
78,Orange (local),0.85,mwi_ihs4
79,Orange (imported),0.85,mwi_ihs4
80,Tangerine,0.85,mwi_ihs4
81,Citron - Lemon,0.85,mwi_ihs4
82,Passion Fruit,0.85,assumed
83,Plums,0.85,assumed
84,Berries,0.95,assumed
85,Apples,0.95,mwi_ihs4
86,Other fruits,0.74,tza_npsw5
87,Soya Flour,1,mwi_ihs4
88,Sunflower flour,1,mwi_ihs4
89,Ground nuts (peanuts),1,tza_npsw5
90,Grilled ground nuts,1,tza_npsw5
91,Soya (fresh),0.99,tza_npsw5
92,Soya (dry),0.99,tza_npsw5
93,Green pea (fresh),0.99,tza_npsw5
94,Green pea (dry),0.99,tza_npsw5
95,Onion,0.95,mwi_ihs4
96,Garlic,0.95,assumed
97,Pumpkin,0.85,mwi_ihs4
98,Cucumber,1,mwi_ihs4
99,Eggplant,1,assumed
100,Carrot,0.84,tza_npsw5
101,Leeks,0.9,assumed
102,Lettuce,0.9,assumed
103,Celery,0.9,assumed
104,Parsley,0.9,assumed
105,Mushrooms,1,mwi_ihs4
106,Cassava leaves,1,assumed
107,Amarante (small leafed green),1,assumed
108,Cabbages,1,assumed
109,Spinach,1,assumed
110,Amarante (large leafed green),1,assumed
111,Other Vegetables,1,assumed
112,Chayote,1,assumed
113,Pepper,0.84,tza_npsw5
114,Yams/Ibikoro,0.81,tza_npsw5
115,Other tubers,0.81,tza_npsw5
116,Sugarcane,0.25,mwi_ihs4
117,"Jam, marmalade",1,mwi_ihs4
118,Honey,1,mwi_ihs4
119,Chocolate,1,mwi_ihs4
120,Candy / Gum,1,mwi_ihs4
121,Sugar glu,1,assumed
122,Pepper(ground / liquid),1,tza_npsw5
123,Vinegar,1,assumed
124,Mayonnaise,1,assumed
125,Tomato concentrate,1,assumed
126,Pepper-raw,1,assumed
127,Boullion cubes(MAGGI),1,assumed
128,Baby food,1,assumed
129,Other food items,1,assumed
130,Coffee (local),1,tza_npsw5
131,Coffee (imported),1,tza_npsw5
132,Tea (local),1,tza_npsw5
133,Tea (imported),1,tza_npsw5
134,Cocoa and powdered drinking chocolate,1,tza_npsw5
135,Mineral water,1,assumed
136,Carbonated Soft Drinks,1,tza_npsw5
137,Local banana juice,1,assumed
138,Passion fruit juice,1,assumed
139,Other juices of fruits (local),1,mwi_ihs4
140,Other juices of fruits (imported),1,mwi_ihs4
141,Powdered juice(super dip),1,assumed
142,Liqueurs (local),1,mwi_ihs4
143,Liqueurs (imported),1,mwi_ihs4
144,Wine (local),1,mwi_ihs4
145,Wine (imported),1,mwi_ihs4
146,Other local beer,1,mwi_ihs4
147,Commercial beer (local),1,mwi_ihs4
148,Commercial beer (imported),1,mwi_ihs4
