item_code,item_name,food_group,alternative_group
100,Carrot,vita_fruit_veg,vita_fruit_veg
101,Leeks,other_veg,fruit_vegetables
102,Lettuce,other_veg,fruit_vegetables
103,Celery,other_veg,fruit_vegetables
104,Parsley,green_leafy_veg,green_leafy_veg
105,Mushrooms,other_veg,fruit_vegetables
106,Cassava leaves,green_leafy_veg,green_leafy_veg
107,Amarante (small leafed green),green_leafy_veg,green_leafy_veg
108,Cabbages,other_veg,fruit_vegetables
109,Spinach,green_leafy_veg,green_leafy_veg
110,Amarante (large leafed green),green_leafy_veg,green_leafy_veg
111,Other Vegetables,other_veg,fruit_vegetables
112,Chayote,other_veg,fruit_vegetables
113,Pepper,vita_fruit_veg,vita_fruit_veg
114,Yams/Ibikoro,grains_roots_tubers,grains_roots_tubers
115,Other tubers,grains_roots_tubers,grains_roots_tubers
116,Sugarcane,misc,sugars
117,"Jam, marmalade",misc,others
118,Honey,misc,others
119,Chocolate,misc,others
120,Candy / Gum,misc,others
121,Sugar glu,misc,sugars
122,Pepper(ground / liquid),misc,others
123,Vinegar,misc,others
124,Mayonnaise,misc,others
125,Tomato concentrate,misc,others
126,Pepper-raw,misc,others
127,Boullion cubes(MAGGI),misc,others
128,Baby food,misc,others
129,Other food items,misc,others
130,Coffee (local),misc,others
131,Coffee (imported),misc,others
132,Tea (local),misc,others
133,Tea (imported),misc,others
134,Cocoa and powdered drinking chocolate,misc,others
135,Mineral water,misc,others
136,Carbonated Soft Drinks,misc,others
137,Local banana juice,misc,others
138,Passion fruit juice,misc,others
139,Other juices of fruits (local),misc,others
140,Other juices of fruits (imported),misc,others
141,Powdered juice(super dip),misc,others
142,Liqueurs (local),misc,others
143,Liqueurs (imported),misc,others
144,Wine (local),misc,others
145,Wine (imported),misc,others
146,Other local beer,misc,others
147,Commercial beer (local),misc,others
148,Commercial beer (imported),misc,others
